name,recruiting,companyInform,companyType,companyDate
현대모비스(주),16,"대기업,1000대기업",그 외 자동차용 신품 부품 제조업,48년차
쿠팡(주),100,"대기업,1000대기업",전자상거래 소매업,12년차
에스케이하이닉스(주),0,"대기업,1000대기업",발광 다이오드 제조업,76년차
삼성전자(주),0,"대기업,1000대기업",이동전화기 제조업,56년차
(주)아이아이컴바인드,50,중견기업,안경 및 안경렌즈 제조업,14년차
(주)카카오,0,"대기업,1000대기업",포털 및 기타 인터넷 정보매개 서비스업,30년차
(주)셀트리온,1,"대기업,1000대기업",의약용 화합물 및 항생물질 제조업,34년차
도쿄일렉트론코리아(주),0,"대기업,1000대기업",반도체 제조용 기계 제조업,19년차
(주)하이브,10,"대기업,1000대기업",음악 및 기타 오디오물 출판업,20년차
기아(주),1,"대기업,1000대기업",승용차 및 기타 여객용 자동차 제조업,81년차
(주)무신사,28,중견기업,통신 판매업,13년차
SK이노베이션(주),1,"대기업,1000대기업",석유 정제품 제조업,"1,565명"
(주)LG생활건강,1,"대기업,1000대기업",화장품 제조업,24년차
현대로템(주),1,"대기업,1000대기업",기관차 및 기타 철도차량 제조업,26년차
세메스(주),0,"대기업,1000대기업",반도체 제조용 기계 제조업,32년차
CJ(주),0,"대기업,1000대기업",지주회사,72년차
(주)맨파워코리아,207,중견기업,상용 인력 공급 및 인사관리 서비스업,26년차
에이에스엠엘코리아(유),2,"중견기업,1000대기업",기타 엔지니어링 서비스업,29년차
(주)셀트리온제약,0,대기업,완제 의약품 제조업,25년차
(주)녹십자,1,"중견기업,1000대기업",완제 의약품 제조업,56년차
(주)씨제이이엔엠,3,"대기업,1000대기업",텔레비전 방송업,31년차
(주)에코프로,1,,지주회사,186명
에이치엘만도(주),1,"대기업,1000대기업",자동차용 신품 조향장치 및 현가 장치 제조업,11년차
(주)클리오,5,중견기업,화장품 제조업,28년차
(주)빙그레,1,"중견기업,1000대기업",아이스크림 및 기타 식용빙과류 제조업,58년차
(주)보령,4,중견기업,완제 의약품 제조업,62년차
(주)삼구아이앤씨,163,중견기업,사업시설 유지ㆍ관리 서비스업,49년차
(주)에스엠엔터테인먼트,3,,음악 및 기타 오디오물 출판업,30년차
현대글로비스(주),0,"대기업,1000대기업","화물운송 중개, 대리 및 관련 서비스업",24년차
한온시스템(주),5,"대기업,1000대기업",공기 조화장치 제조업,39년차
현대위아(주),0,"대기업,1000대기업",그 외 자동차용 신품 부품 제조업,49년차
(주)농심,7,중견기업,"면류, 마카로니 및 유사식품 제조업",60년차
(주)아모텍,3,"중견기업,1000대기업",그 외 기타 전자부품 제조업,31년차
(주)제이에이에스,8,중견기업,기타 항공 운송지원 서비스업,25년차
현대제철(주),6,"대기업,1000대기업",제철업,61년차
에스엘(주),0,중견기업,자동차용 기타 신품 부품 제조업,57년차
한국바스프(주),2,"대기업,1000대기업",석유화학계 기초 화학물질 제조업,37년차
(주)종근당바이오,1,중견기업,완제 의약품 제조업,24년차
(주)컬리,36,중소기업,전자상거래 소매업,11년차
(주)성우하이텍,4,중견기업,자동차 차체용 신품 부품 제조업,44년차
(주)카카오엔터테인먼트,10,대기업,응용 소프트웨어 개발 및 공급업,15년차
한국수력원자력(주),0,대기업,원자력 발전업,24년차
(주)유니에스,62,중견기업,상용 인력 공급 및 인사관리 서비스업,35년차
하이트진로(주),0,"대기업,1000대기업",알코올음료 제조업,71년차
삼성SDI(주),0,"대기업,1000대기업",축전지 제조업,55년차
오스템임플란트(주),4,"중견기업,1000대기업",치과용 기기 제조업,28년차
(주)경신,1,"중견기업,1000대기업",자동차용 신품 전기장치 제조업,51년차
(주)제이와이피엔터테인먼트,1,,음악 및 기타 오디오물 출판업,404명
아이비커리어(주),120,중소기업,상용 인력 공급 및 인사관리 서비스업,20년차
포스코홀딩스(주),0,"대기업,1000대기업",제철업,57년차
(주)에스씨케이컴퍼니,0,"대기업,1000대기업",커피 전문점,28년차
지에스건설(주),8,"대기업,1000대기업",토목시설물 건설업,56년차
(주)유라코퍼레이션,4,중견기업,그 외 자동차용 신품 부품 제조업,32년차
(주)트랜스코스모스코리아,57,중견기업,콜센터 및 텔레마케팅 서비스업,24년차
(주)티웨이에어서비스,0,중소기업,기타 항공 운송지원 서비스업,8년차
한화에어로스페이스(주),1,"대기업,1000대기업",항공기용 부품 제조업,48년차
(주)오뚜기,2,,"면류, 마카로니 및 유사식품 제조업",54년차
엘지이노텍(주),0,대기업,그 외 기타 전자부품 제조업,49년차
(주)서연이화,0,"중견기업,1000대기업",자동차 차체용 신품 부품 제조업,11년차
S-OIL(주),0,"대기업,1000대기업",원유 정제처리업,49년차
엘지디스플레이(주),0,"대기업,1000대기업",액정 표시장치 제조업,40년차
(주)키스템프그룹,239,중소기업,상용 인력 공급 및 인사관리 서비스업,19년차
(주)야놀자,34,"중견기업,스타트업",데이터베이스 및 온라인정보 제공업,18년차
(주)바디프랜드,4,"중견기업,1000대기업",그 외 기타 의료용 기기 제조업,18년차
온세미컨덕터코리아(주),0,,기타 반도체소자 제조업,27년차
(주)풀무원,3,중견기업,그 외 기타 식료품 제조업,41년차
(주)티웨이항공,0,중견기업,항공 여객 운송업,22년차
대상(주),5,,전분제품 및 당류 제조업,69년차
(주)DB하이텍,2,"대기업,1000대기업",비메모리용 및 기타 전자집적회로 제조업,72년차
한미반도체(주),4,중견기업,반도체 제조용 기계 제조업,45년차
(주)포스코이앤씨,5,"대기업,1000대기업",종합 건설업,43년차
(주)더블유컨셉코리아,0,대기업,전자상거래 소매업,17년차
현대오토에버(주),41,"대기업,1000대기업",응용 소프트웨어 개발 및 공급업,25년차
현대트랜시스(주),3,"대기업,1000대기업",그 외 자동차용 신품 부품 제조업,26년차
신라에이치엠(주),2,대기업,호텔업,11년차
(주)신세계푸드,1,"대기업,1000대기업",기관 구내식당업,46년차
(주)씨티알,7,"중견기업,1000대기업",그 외 자동차용 신품 부품 제조업,54년차
(주)포스코퓨처엠,0,"대기업,1000대기업",축전지 제조업,54년차
(주)넥슨코리아,0,"대기업,1000대기업",유선 온라인 게임 소프트웨어 개발 및 공급업,20년차
(주)에프에스티,4,,전자감지장치 제조업,38년차
(주)케이티앤지,0,"대기업,1000대기업",담배 제조업,28년차
(주)한화,27,"대기업,1000대기업",화약 및 불꽃제품 제조업,73년차
케이엘에이텐코코리아(주),0,,기타 산업용 기계 및 장비 도매업,32년차
(주)한독,1,중견기업,완제 의약품 제조업,67년차
(주)진에어,0,"대기업,1000대기업",항공 여객 운송업,17년차
도레이첨단소재(주),0,"대기업,1000대기업",플라스틱 필름 제조업,26년차
지에스칼텍스(주),0,"대기업,1000대기업",원유 정제처리업,58년차
히타치하이테크코리아(주),0,중소기업,상품 종합 도매업,20년차
에드워드코리아(주),6,,그 외 기타 전자부품 제조업,33년차
엔에이치엔(주),27,대기업,유선 온라인 게임 소프트웨어 개발 및 공급업,12년차
(주)세스코,86,"중견기업,1000대기업","소독, 구충 및 방제 서비스업",49년차
에이치디현대오일뱅크(주),1,"대기업,1000대기업",원유 정제처리업,61년차
(주)LF,0,"중견기업,1000대기업",남자용 겉옷 제조업,19년차
(주)메디톡스,0,중견기업,생물학적 제제 제조업,25년차
한화호텔앤드리조트(주),25,"대기업,1000대기업",휴양콘도 운영업,46년차
(주)마이다스아이티,0,,응용 소프트웨어 개발 및 공급업,25년차
(주)대동,1,"중견기업,1000대기업",농업 및 임업용 기계 제조업,78년차
(주)바이넥스,8,,완제 의약품 제조업,40년차
데상트코리아(주),2,"중견기업,1000대기업",남녀용 겉옷 및 셔츠 도매업,25년차
(주)더본코리아,4,중견기업,상품 종합 도매업,31년차
(주)티몬,0,,전자상거래 소매 중개업,15년차
(주)시몬스,1,중견기업,매트리스 및 침대 제조업,33년차
에이치케이이노엔(주),1,"대기업,1000대기업",완제 의약품 제조업,11년차
(주)효성,0,"대기업,1000대기업",지주회사,68년차
(주)러쉬코리아,2,중소기업,"화장품, 비누 및 방향제 소매업",23년차
(주)스타쉽엔터테인먼트,2,대기업,매니저업,17년차
에어부산(주),0,대기업,항공 여객 운송업,18년차
캐논코리아(주),3,"대기업,1000대기업",사무용 기계 및 장비 제조업,40년차
한전KPS(주),0,대기업,일반전기 공사업,41년차
삼양식품(주),8,중견기업,"면류, 마카로니 및 유사식품 제조업",65년차
상신브레이크(주),2,"중견기업,1000대기업",자동차용 신품 제동장치 제조업,50년차
(주)제주항공,1,"중견기업,1000대기업",항공 여객 운송업,20년차
유니셈(주),2,중견기업,반도체 제조용 기계 제조업,29년차
한국에스지에스(주),11,,물질성분 검사 및 분석업,46년차
리디(주),20,중견기업,응용 소프트웨어 개발 및 공급업,17년차
(주)카카오뱅크,5,대기업,국내은행,9년차
코스맥스엔비티(주),4,중견기업,건강기능식품 제조업,24년차
(주)여기어때컴퍼니,5,"중소기업,스타트업",포털 및 기타 인터넷 정보매개 서비스업,10년차
하나제약(주),2,중견기업,완제 의약품 제조업,47년차
(주)네이처리퍼블릭,4,중견기업,화장품 제조업,16년차
엘아이지넥스원(주),1,"중견기업,1000대기업",무기 및 총포탄 제조업,27년차
엠이엠씨코리아(주),0,,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",35년차
(주)현대케피코,18,"대기업,1000대기업",자동차 엔진용 신품 부품 제조업,38년차
한국무브넥스(주),0,중견기업,그 외 자동차용 신품 부품 제조업,51년차
린데코리아(주),0,,산업용 가스 제조업,50년차
(주)SPC삼립,14,중견기업,빵류 제조업,57년차
(주)엘지씨엔에스,4,"대기업,1000대기업",컴퓨터시스템 통합 자문 및 구축 서비스업,38년차
리뉴어스(주),46,대기업,하수 처리업,7년차
머크(주),5,중견기업,의약품 도매업,36년차
(주)문화방송,3,,지상파 방송업,64년차
(주)도화엔지니어링,4,"중견기업,1000대기업",건물 및 토목 엔지니어링 서비스업,63년차
SK텔레콤(주),3,"대기업,1000대기업",무선 및 위성 통신업,41년차
한화솔루션(주),0,"대기업,1000대기업",석유화학계 기초 화학물질 제조업,51년차
동화약품(주),0,"중견기업,1000대기업",완제 의약품 제조업,128년차
(주)에이치엘클레무브,0,"대기업,1000대기업",그 외 자동차용 신품 부품 제조업,17년차
(주)동구바이오제약,1,,완제 의약품 제조업,42년차
비테스코테크놀로지스코리아유한책임회사,1,"대기업,1000대기업",자동차 엔진용 신품 부품 제조업,38년차
샘표(주),0,중견기업,지주회사,54년차
(주)서흥,6,중견기업,완제 의약품 제조업,52년차
(주)사람인,4,중견기업,포털 및 기타 인터넷 정보매개 서비스업,20년차
세아상역(주),2,"대기업,1000대기업",남자용 겉옷 제조업,10년차
(주)네패스,4,"중견기업,1000대기업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",35년차
(주)프로에스콤,80,중견기업,경비 및 경호 서비스업,32년차
볼보그룹코리아(주),5,"대기업,1000대기업",건설 및 채광용 기계장비 제조업,27년차
(주)케이씨씨,0,"대기업,1000대기업",일반용 도료 및 관련제품 제조업,67년차
지엠비코리아(주),0,,그 외 자동차용 신품 부품 제조업,46년차
(주)신세계,0,"대기업,1000대기업",백화점,70년차
씨제이올리브네트웍스(주),8,"대기업,1000대기업",컴퓨터시스템 통합 자문 및 구축 서비스업,30년차
(주)고운세상코스메틱,1,중소기업,화장품 제조업,26년차
현대종합금속(주),1,중견기업,피복 및 충전 용접봉 제조업,50년차
(주)이랜드월드,1,"대기업,1000대기업","근무복, 작업복 및 유사의복 제조업",43년차
롯데케미칼(주),0,"대기업,1000대기업",석유화학계 기초 화학물질 제조업,49년차
아시아나에어포트(주),2,대기업,기타 항공 운송지원 서비스업,37년차
(주)현대바이오랜드,1,대기업,의약용 화합물 및 항생물질 제조업,30년차
(주)큐브엔터테인먼트,4,중소기업,음악 및 기타 오디오물 출판업,12년차
엘에스일렉트릭(주),10,대기업,"전기회로 개폐, 보호장치 제조업",51년차
(주)와이지엔터테인먼트,0,중견기업,음악 및 기타 오디오물 출판업,27년차
씨제이푸드빌(주),10,대기업,서양식 음식점업,25년차
윌로펌프(주),2,중견기업,액체 펌프 제조업,25년차
더케이텍(주),23,중견기업,상용 인력 공급 및 인사관리 서비스업,27년차
한화시스템(주),7,"대기업,1000대기업",그 외 기타 전자부품 제조업,25년차
콘텐츠웨이브(주),0,대기업,"영화, 비디오물 및 방송프로그램 배급업",13년차
(주)다스,2,"1000대기업,중견기업",그 외 자동차용 신품 부품 제조업,38년차
(주)에프엔씨엔터테인먼트,7,중소기업,그 외 기타 창작 및 예술관련 서비스업,19년차
티케이지태광(주),2,중견기업,기타 신발 제조업,45년차
에스제이지세종(주),0,중견기업,그 외 자동차용 신품 부품 제조업,49년차
(주)SBS,0,"대기업,1000대기업",지상파 방송업,35년차
(주)에이피알,18,중견기업,화장품 제조업,11년차
한국램리서치(유),0,,전기용 기계ㆍ장비 및 관련 기자재 도매업,33년차
JW중외제약(주),0,"중견기업,1000대기업",완제 의약품 제조업,72년차
엔브이에이치코리아(주),2,중견기업,자동차 차체용 신품 부품 제조업,41년차
(주)조선호텔앤리조트,5,"대기업,1000대기업",호텔업,58년차
(주)동진쎄미켐,1,"중견기업,1000대기업",기타 기초 무기 화학물질 제조업,52년차
(주)에이블리코퍼레이션,5,중소기업,남녀용 겉옷 및 셔츠 도매업,10년차
삼성웰스토리(주),5,"대기업,1000대기업",기관 구내식당업,12년차
(주)카카오스타일,10,"대기업,스타트업",응용 소프트웨어 개발 및 공급업,13년차
네이버아이앤에스(주),1,"대기업,1000대기업",포털 및 기타 인터넷 정보매개 서비스업,16년차
태광후지킨(주),9,중견기업,"탭, 밸브 및 유사장치 제조업",18년차
엘에스엠트론(주),3,"대기업,1000대기업",농업 및 임업용 기계 제조업,17년차
(주)이수페타시스,5,"대기업,1000대기업",연성 및 기타 인쇄회로기판 제조업,53년차
씨제이프레시웨이(주),5,"대기업,1000대기업",기타 가공식품 도매업,37년차
대한유화(주),0,"중견기업,1000대기업",합성수지 및 기타 플라스틱 물질 제조업,55년차
롯데건설(주),7,"대기업,1000대기업",종합 건설업,66년차
스위스포트코리아(주),4,중소기업,기타 항공 운송지원 서비스업,24년차
엘비세미콘(주),0,중견기업,발광 다이오드 제조업,25년차
(주)에스엠컬처앤콘텐츠,4,대기업,광고 대행업,45년차
에코플라스틱(주),0,중견기업,자동차 차체용 신품 부품 제조업,41년차
(주)인터비즈시스템,7,중소기업,그 외 기타 분류 안된 사업지원 서비스업,36년차
한양이엔지(주),6,중견기업,건축설계 및 관련 서비스업,37년차
지멘스(주),5,"대기업,1000대기업",전기용 기계ㆍ장비 및 관련 기자재 도매업,36년차
(주)디엔솔루션즈,1,중견기업,전자 응용 절삭기계 제조업,9년차
에어서울(주),0,대기업,항공 여객 운송업,10년차
(주)뷰웍스,5,중견기업,그 외 기타 의료용 기기 제조업,26년차
(주)디앤오,3,"대기업,1000대기업",건물 및 토목 엔지니어링 서비스업,23년차
(주)마녀공장,3,중견기업,화장품 제조업,13년차
삼성이앤에이(주),0,"대기업,1000대기업",기타 엔지니어링 서비스업,47년차
(주)경보제약,2,"1000대기업,중견기업",완제 의약품 제조업,38년차
(주)유한건강생활,4,중견기업,건강기능식품 제조업,8년차
콜마비앤에이치(주),1,중견기업,의약용 화합물 및 항생물질 제조업,11년차
자화전자(주),2,중견기업,전자감지장치 제조업,38년차
